country_of_citizenship,continent,region,number_of_active_students,male,female,associate,bachelors,doctorate,flight_training,high_school,language_training,masters,other,other_vocational_school,primary,secondary,ak,al,ar,az,ca,co,ct,dc,de,fl,ga,gu,hi,ia,id,il,in,ks,ky,la,ma,md,me,mi,mn,mo,mp,ms,mt,nc,nd,ne,nh,nj,nm,nv,ny,oh,ok,or,pa,pr,ri,sc,sd,tn,tx,ut,va,vi,vt,wa,wi,wv,wy,month_year,date,active_students,flight_school
CHRISTMAS ISLAND,Australia & Pacific Islands,Oceania,4,1,3,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,april-2014,2014-04-01,NA,NA
COLOMBIA,South America,South America,9246,4715,4529,870,2234,1176,240,6,2523,1609,281,44,37,226,3,83,36,56,671,93,104,188,50,1465,301,3,14,99,28,350,143,57,45,131,903,139,7,98,105,123,0,38,9,114,5,93,17,249,26,15,1097,136,95,66,247,322,21,79,10,76,717,103,175,0,5,105,83,45,3,april-2014,2014-04-01,NA,NA
COMOROS,Africa,Eastern Africa,9,4,5,2,1,2,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,april-2014,2014-04-01,NA,NA
"REPUBLIC hF
  THE CONGO",Africa,Central Africa,344,186,158,114,93,8,9,0,98,13,2,0,1,6,0,3,1,10,17,7,1,11,0,10,9,0,0,5,0,15,10,0,1,1,16,16,0,7,8,5,0,0,0,19,2,2,1,12,0,0,52,2,11,2,9,0,0,2,2,2,58,1,3,0,0,4,5,1,1,april-2014,2014-04-01,NA,NA
"DEMOCRAThC
  REPUBLIC OF THE CONGO",Africa,Central Africa,1003,544,459,331,350,26,4,0,173,76,9,0,2,32,0,5,10,4,60,17,4,14,2,25,35,0,0,16,1,58,40,22,13,0,22,40,3,21,20,24,0,3,0,53,7,14,3,4,0,0,24,21,8,24,25,0,0,0,7,7,157,55,29,0,5,26,21,51,3,april-2014,2014-04-01,NA,NA
COSTA RICA,North America,Central America,1086,592,493,68,490,177,6,0,40,209,43,6,1,46,0,18,27,12,92,17,7,24,2,117,49,0,1,10,6,44,27,12,4,33,94,11,0,26,17,17,0,1,2,26,1,6,4,24,11,4,101,19,3,7,35,12,6,18,4,15,58,6,36,0,2,4,13,1,0,april-2014,2014-04-01,NA,NA
COTE D'IVOIRE,Africa,Western Africa,1417,746,670,397,596,41,0,0,150,179,26,2,7,19,0,34,17,7,62,9,6,28,6,40,112,1,0,0,0,24,52,19,2,8,35,49,1,14,58,21,0,1,1,14,14,39,3,43,1,3,73,9,95,8,42,0,2,2,1,8,364,8,39,0,0,6,27,6,3,april-2014,2014-04-01,NA,NA
CROATIA,Europe,Southern Europe,644,324,320,55,312,90,2,0,28,116,21,5,2,13,0,7,6,7,76,8,10,16,1,34,8,1,5,15,1,23,14,9,8,8,25,7,3,9,14,18,0,2,0,15,0,2,3,22,6,3,86,18,11,5,16,0,5,6,3,9,40,3,24,0,4,10,9,8,1,april-2014,2014-04-01,NA,NA
CUBA,North America,Caribbean,20,15,5,1,6,2,0,0,5,3,3,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,2,0,0,1,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,4,0,0,0,0,1,0,0,0,april-2014,2014-04-01,NA,NA
CURACAO,North America,Caribbean,91,70,21,33,15,0,1,0,1,1,3,2,0,35,0,0,0,0,0,0,0,0,0,54,3,0,0,3,0,3,0,0,0,0,0,0,0,1,4,5,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,april-2014,2014-04-01,NA,NA
