country_of_citizenship,continent,region,number_of_active_students,male,female,associate,bachelors,doctorate,flight_training,high_school,language_training,masters,other,other_vocational_school,primary,secondary,ak,al,ar,az,ca,co,ct,dc,de,fl,ga,gu,hi,ia,id,il,in,ks,ky,la,ma,md,me,mi,mn,mo,mp,ms,mt,nc,nd,ne,nh,nj,nm,nv,ny,oh,ok,or,pa,pr,ri,sc,sd,tn,tx,ut,va,vi,vt,wa,wi,wv,wy,month_year,date,active_students,flight_school
TANZANIA,Africa,Eastern Africa,NA,692,731,269,496,156,NA,0,10,412,16,1,1,46,0,17,5,18,120,8,22,17,6,74,28,0,0,23,14,51,27,48,9,6,75,28,8,53,75,29,0,7,2,26,5,7,4,24,3,2,92,66,26,4,39,0,4,11,7,30,127,14,85,0,6,49,18,4,0,april-2024,2024-04-01,1423,16
THAILAND,Asia,South-Eastern Asia,NA,2967,4092,508,2079,496,NA,0,1513,1613,446,7,20,370,1,33,15,47,1301,61,73,87,11,177,123,0,15,42,10,516,114,32,49,12,734,66,20,122,62,45,0,16,2,63,7,18,49,164,9,20,1497,79,15,100,190,0,35,30,2,32,176,57,305,0,6,317,97,5,0,april-2024,2024-04-01,7059,7
TIMOR-LESTE,Asia,South-Eastern Asia,NA,8,9,0,13,1,NA,0,0,2,0,1,0,0,0,0,0,0,1,2,2,0,0,0,0,0,1,3,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,april-2024,2024-04-01,17,0
TOGO,Africa,Western Africa,NA,191,119,83,92,30,NA,0,43,45,13,0,0,4,0,2,1,2,15,0,2,4,2,7,15,0,0,23,3,18,6,6,3,1,6,13,2,7,14,18,0,1,0,15,1,16,1,5,4,0,20,8,4,4,5,0,0,1,2,3,22,9,9,0,0,5,2,2,1,april-2024,2024-04-01,310,0
TONGA,Australia&Pacific Islands,Polynesia,NA,19,15,6,8,3,NA,0,0,10,0,0,0,7,1,0,0,0,7,0,0,0,0,1,0,0,3,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,april-2024,2024-04-01,34,0
TRINIDAD AND TOBAGO,North America,Caribbean,NA,835,776,188,897,127,NA,0,7,308,29,9,1,17,0,17,15,9,45,13,14,58,5,542,58,0,1,7,4,49,25,14,13,22,51,29,2,9,8,13,0,13,0,29,4,4,6,38,1,2,221,31,19,5,56,0,4,11,3,27,61,4,28,0,2,6,7,4,2,april-2024,2024-04-01,1611,28
TROMELIN ISLAND,N/A,N/A,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,april-2024,2024-04-01,0,0
TUNISIA,Africa,Northern Africa,NA,725,454,167,331,157,NA,0,284,195,36,0,0,3,0,10,7,7,196,12,6,96,1,87,15,0,1,22,3,21,13,16,14,8,56,6,6,60,10,12,0,2,2,19,1,8,3,23,0,5,69,14,0,1,38,0,2,3,2,11,46,10,187,0,0,15,28,2,3,april-2024,2024-04-01,1179,6
TURKEY,Asia,Western Asia,NA,6956,5134,650,3179,2643,NA,0,2961,1943,451,3,3,242,0,56,14,128,1859,76,166,240,42,553,243,0,4,81,10,671,189,38,37,47,1104,127,65,211,93,72,0,27,39,200,8,19,77,804,13,26,2455,163,35,33,487,1,79,46,5,67,555,60,495,0,10,113,116,27,4,april-2024,2024-04-01,12090,15
TURKMENISTAN,Asia,Central Asia,NA,451,313,146,134,23,NA,0,267,105,84,0,2,3,0,4,0,7,32,1,7,6,1,15,7,0,0,21,0,133,4,9,6,2,13,0,0,2,10,8,0,5,5,4,0,5,2,8,2,1,150,7,4,2,14,0,1,1,5,2,118,17,13,0,0,87,2,0,21,april-2024,2024-04-01,764,0
TURKS AND CAICOS ISLANDS,North America,Caribbean,NA,28,37,26,22,1,NA,0,0,8,0,0,0,5,0,1,0,1,1,0,0,0,0,38,5,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,1,1,0,2,0,0,0,0,1,3,0,0,0,0,0,1,0,0,april-2024,2024-04-01,65,3
UGANDA,Africa,Eastern Africa,NA,863,769,126,547,289,NA,0,7,551,21,3,4,81,0,12,13,32,84,14,18,41,1,36,38,0,0,145,11,72,54,22,29,16,122,28,5,41,60,70,0,7,1,56,6,7,8,14,7,4,78,97,61,12,62,0,3,9,6,18,84,15,35,0,9,41,26,1,1,april-2024,2024-04-01,1632,3
UKRAINE,Europe,Eastern Europe,NA,1161,1461,104,1257,273,NA,0,112,376,84,11,30,372,2,16,9,41,282,12,74,38,4,249,53,0,6,15,12,187,33,16,26,35,227,24,33,41,33,48,0,6,1,45,8,7,35,50,7,3,298,82,17,41,149,1,23,16,4,32,100,31,59,0,20,36,23,10,2,april-2024,2024-04-01,2622,3
UNITED ARAB EMIRATES,Asia,Western Asia,NA,1155,254,265,676,55,NA,0,247,96,59,1,0,9,0,0,1,130,296,27,8,26,3,69,7,0,1,21,0,44,58,3,7,15,102,4,0,32,5,4,0,0,0,1,0,0,0,13,2,1,59,31,3,24,148,0,1,3,1,4,50,19,77,0,0,69,38,2,0,april-2024,2024-04-01,1409,1
UNITED KINGDOM,Europe,Northern Europe,NA,7094,4498,987,6187,1102,NA,0,6,2290,405,86,32,269,3,125,60,201,1302,141,273,140,25,788,319,0,37,219,54,436,162,180,159,88,848,97,32,211,64,262,0,96,25,406,26,85,85,399,41,20,1601,242,166,58,466,0,98,167,22,259,486,90,200,11,21,92,75,106,23,april-2024,2024-04-01,11592,228
UNKNOWN,N/A,N/A,NA,4,0,0,3,0,NA,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,april-2024,2024-04-01,4,0
URUGUAY,South America,South America,NA,269,219,28,210,93,NA,0,52,85,10,0,0,9,0,3,1,5,40,6,8,7,2,102,10,0,1,5,0,16,9,11,10,2,34,3,0,10,6,8,0,3,0,12,0,1,3,12,0,1,57,6,3,1,20,0,0,3,0,7,16,25,5,0,1,4,5,4,0,april-2024,2024-04-01,488,1
UZBEKISTAN,Asia,Central Asia,NA,1356,453,83,685,78,NA,0,401,474,66,1,1,16,0,8,4,130,194,35,61,9,1,159,15,0,1,34,0,123,19,11,16,2,45,6,5,32,26,72,0,22,0,14,2,2,8,59,1,1,338,71,7,3,144,0,2,1,2,14,25,2,42,0,1,13,22,2,3,april-2024,2024-04-01,1809,4
VANUATU,Australia&Pacific Islands,Melanesia,NA,4,3,0,4,0,NA,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,april-2024,2024-04-01,7,1
VENEZUELA,South America,South America,NA,1815,1845,492,1670,247,NA,0,481,595,76,5,4,84,0,24,17,18,98,33,22,40,7,1391,122,0,1,36,9,129,52,36,62,36,246,21,5,46,25,63,0,29,3,81,3,9,2,21,5,5,258,44,32,12,89,30,8,23,2,48,272,56,42,0,3,12,15,16,1,april-2024,2024-04-01,3660,6
VIETNAM,Asia,South-Eastern Asia,NA,12521,14251,3646,13107,2045,NA,0,1534,3171,669,6,49,2446,6,281,231,570,4068,201,316,169,48,1378,810,0,45,356,22,1125,587,223,171,200,1832,263,126,505,460,428,0,74,6,291,17,182,62,264,137,91,1454,1175,196,343,1373,1,49,64,22,184,3338,262,600,0,21,1735,368,33,9,april-2024,2024-04-01,26772,99
WEST BANK,Asia,Western Asia,NA,243,133,33,131,73,NA,0,25,101,8,1,0,4,0,3,1,11,29,4,5,10,3,20,4,0,0,11,3,28,6,3,4,2,9,2,3,12,24,2,0,6,0,9,1,0,2,8,3,0,34,13,4,2,20,0,4,1,1,5,32,10,10,0,1,4,7,0,0,april-2024,2024-04-01,376,0
YEMEN,Asia,Western Asia,NA,223,40,44,63,41,NA,0,58,53,3,0,0,0,0,0,0,5,25,6,4,3,0,10,2,0,0,4,0,23,5,1,4,0,4,0,0,22,12,9,0,3,0,7,2,0,3,8,1,0,36,4,4,8,8,0,0,2,1,3,12,0,14,0,0,6,2,0,0,april-2024,2024-04-01,263,1
ZAMBIA,Africa,Eastern Africa,NA,391,359,124,362,82,NA,0,5,148,20,0,1,8,0,24,10,12,44,11,10,9,2,33,20,0,0,12,39,40,26,5,8,14,21,10,4,22,26,14,0,6,6,21,2,7,5,4,14,3,39,24,19,6,35,0,2,4,1,9,68,7,21,0,0,22,4,4,1,april-2024,2024-04-01,750,0
ZIMBABWE,Africa,Eastern Africa,NA,1258,1191,294,1195,225,NA,0,5,666,35,3,1,21,0,34,23,75,136,15,41,61,17,66,70,0,2,75,53,85,47,67,29,37,115,21,9,84,81,120,0,25,1,74,17,19,23,46,10,1,152,82,61,25,109,0,11,28,12,56,155,38,51,0,11,21,28,27,3,april-2024,2024-04-01,2449,4
AFGHANISTAN,Asia,Southern Asia,NA,267,297,24,211,73,NA,0,14,131,11,0,2,98,0,3,0,6,34,8,22,21,0,5,7,0,0,8,0,12,21,10,9,4,56,6,8,6,6,11,0,1,1,17,0,1,19,9,3,3,89,6,12,1,28,0,10,9,0,5,17,9,34,0,13,5,5,3,1,may-2024,2024-05-01,564,0
ALBANIA,Europe,Southern Europe,NA,649,839,326,597,99,NA,0,142,262,40,1,0,21,0,3,5,17,42,5,51,8,8,118,12,0,0,4,16,71,11,7,3,2,186,8,4,135,29,19,0,0,2,13,1,1,5,104,2,4,384,35,8,1,54,0,3,3,1,8,40,5,25,0,1,8,13,2,1,may-2024,2024-05-01,1488,0
ALGERIA,Africa,Northern Africa,NA,515,273,111,103,100,NA,0,337,83,48,0,0,3,0,1,2,4,134,8,4,8,3,17,5,0,0,8,1,24,8,11,3,2,52,6,1,7,3,10,0,2,0,9,18,2,7,18,0,2,241,20,4,2,23,0,1,3,2,6,61,2,26,0,0,3,4,1,9,may-2024,2024-05-01,788,3
ANDORRA,Europe,Southern Europe,NA,12,8,2,13,0,NA,0,0,2,0,0,0,3,0,0,0,0,1,1,0,0,0,1,1,0,0,2,0,2,2,0,0,1,5,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,may-2024,2024-05-01,20,0
ANGOLA,Africa,Central Africa,NA,366,291,111,252,23,NA,0,101,136,12,1,1,18,0,3,1,19,32,3,1,10,2,54,8,0,0,5,3,14,5,5,10,12,17,8,5,7,11,4,0,1,2,5,1,1,0,6,2,1,21,5,26,4,19,0,0,1,0,1,299,5,10,0,0,6,1,1,0,may-2024,2024-05-01,657,2
ANGUILLA,North America,Caribbean,NA,4,4,1,7,0,NA,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,may-2024,2024-05-01,8,0
ANTIGUA AND BARBUDA,North America,Caribbean,NA,124,125,48,133,12,NA,0,1,41,2,1,0,10,0,3,2,2,8,1,0,0,1,43,9,0,0,4,1,9,3,0,3,0,5,3,2,1,1,4,0,2,0,3,0,0,0,10,1,0,65,4,2,1,7,0,1,0,0,4,24,0,3,2,1,2,0,12,0,may-2024,2024-05-01,249,1
ARGENTINA,South America,South America,NA,2191,2104,414,1698,396,NA,0,688,852,161,27,6,46,0,32,13,26,354,30,39,52,5,1178,109,0,5,30,9,151,55,57,72,23,231,35,7,58,34,54,0,17,3,147,2,15,11,51,13,7,522,45,31,19,132,7,12,38,6,62,124,136,104,0,6,50,26,49,1,may-2024,2024-05-01,4295,7
ARMENIA,Asia,Western Asia,NA,346,368,56,240,79,NA,0,90,187,25,2,0,34,0,1,0,13,328,3,6,10,1,29,9,0,0,1,6,34,3,0,3,2,55,7,1,7,34,4,0,0,0,10,0,1,0,8,1,1,68,5,3,2,11,0,4,1,0,0,11,2,11,0,2,4,9,1,2,may-2024,2024-05-01,714,1
ARUBA,North America,Caribbean,NA,34,19,17,23,1,NA,0,0,8,0,0,0,3,0,1,1,0,3,0,0,0,0,13,3,0,0,1,2,1,0,1,1,1,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,8,0,3,0,1,0,0,1,0,6,1,0,0,0,0,0,0,0,0,may-2024,2024-05-01,53,1
AUSTRALIA,Australia&Pacific Islands,Oceania,NA,2639,1950,499,2388,415,NA,0,0,824,157,70,17,207,3,35,23,70,762,42,72,27,9,170,78,1,29,72,32,165,66,69,39,36,377,51,18,76,22,84,0,27,24,129,27,29,32,105,36,14,690,65,56,54,227,0,29,43,16,60,234,60,63,0,4,65,34,31,7,may-2024,2024-05-01,4589,12
AUSTRIA,Europe,Western Europe,NA,531,426,55,401,114,NA,0,14,222,69,8,1,71,2,7,3,15,193,20,15,5,4,56,12,0,14,11,4,26,18,11,8,12,72,9,16,11,27,7,0,5,2,23,0,4,7,23,2,0,139,14,8,15,30,1,10,7,2,19,20,10,8,0,6,13,5,5,1,may-2024,2024-05-01,957,2
AZERBAIJAN,Asia,Western Asia,NA,697,320,37,391,138,NA,0,53,343,40,0,0,15,0,9,4,45,85,8,15,55,5,106,12,0,0,5,1,58,20,2,7,10,133,13,4,15,21,20,0,2,0,13,2,0,5,13,1,0,105,17,23,3,43,0,4,5,2,7,51,2,34,0,4,10,16,0,2,may-2024,2024-05-01,1017,0
"BAHAMAS, THE",North America,Caribbean,NA,1744,2058,302,2476,163,NA,0,1,547,30,11,6,239,0,133,219,16,36,14,16,35,3,952,255,0,0,34,6,37,44,122,31,22,40,38,9,36,100,66,0,27,4,136,12,27,4,24,8,2,132,223,114,1,57,1,17,176,3,176,251,10,89,0,7,5,17,15,0,may-2024,2024-05-01,3802,27
BAHRAIN,Asia,Western Asia,NA,209,106,13,194,27,NA,0,6,59,7,2,0,7,0,7,0,20,34,5,2,16,0,20,4,0,0,1,0,3,10,1,2,1,63,3,0,5,6,3,0,0,1,1,0,0,1,3,3,0,33,5,2,3,19,0,2,2,0,0,23,0,6,0,0,1,2,2,0,may-2024,2024-05-01,315,0
BANGLADESH,Asia,Southern Asia,NA,14301,7076,1124,3453,8125,NA,0,1460,7049,99,0,2,31,9,472,237,306,1557,133,282,135,145,1179,453,0,26,339,126,573,382,241,269,389,470,248,41,981,283,448,0,199,41,464,176,152,118,290,174,105,3181,657,284,85,621,0,28,178,158,338,2309,183,1283,0,21,234,208,100,66,may-2024,2024-05-01,21377,34
BARBADOS,North America,Caribbean,NA,166,192,38,212,22,NA,0,0,64,7,1,1,9,0,7,6,2,8,1,4,20,1,67,8,0,0,11,0,12,8,9,0,6,11,9,1,7,3,10,0,4,0,14,7,2,2,8,4,0,31,8,5,0,11,0,1,2,1,6,27,1,5,1,0,5,2,0,0,may-2024,2024-05-01,358,4
BASSAS DA INDIA,N/A,N/A,NA,7,3,1,3,1,NA,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,may-2024,2024-05-01,10,1
BELARUS,Europe,Eastern Europe,NA,225,319,36,234,53,NA,0,93,71,28,1,1,26,0,2,0,7,83,4,11,4,0,52,16,0,0,2,3,37,7,5,3,5,29,3,3,11,13,8,0,4,0,15,0,3,1,19,4,5,84,10,6,4,24,0,0,5,1,4,16,6,11,0,3,7,2,1,1,may-2024,2024-05-01,544,1
BELGIUM,Europe,Western Europe,NA,665,475,87,462,109,NA,0,76,280,49,3,3,41,0,9,5,33,222,8,25,22,1,61,37,0,12,7,4,36,20,14,7,7,109,14,7,9,9,15,0,5,1,31,1,8,4,12,6,0,191,15,7,12,38,1,6,10,2,10,35,12,17,0,0,9,6,7,1,may-2024,2024-05-01,1140,30
BELIZE,North America,Central America,NA,199,237,44,249,35,NA,0,3,81,2,4,2,13,0,7,21,3,44,7,2,1,2,84,23,0,0,3,1,8,9,4,25,6,8,1,2,13,7,11,0,2,0,6,0,0,0,7,3,3,21,16,7,2,3,0,0,4,1,9,36,1,6,0,0,7,8,1,1,may-2024,2024-05-01,436,3
BENIN,Africa,Western Africa,NA,205,133,78,91,45,NA,0,68,44,9,0,0,3,0,2,3,4,19,2,4,7,0,3,9,0,0,8,3,23,10,5,3,5,9,9,1,4,11,5,0,1,1,6,2,14,1,2,0,1,54,11,3,4,16,0,0,2,2,4,41,6,6,0,0,5,5,2,0,may-2024,2024-05-01,338,0
BERMUDA,North America,Northern America,NA,150,183,22,195,9,NA,0,0,27,4,4,5,67,0,11,0,1,7,3,10,6,5,68,27,0,0,0,1,3,2,0,1,7,26,9,13,8,0,0,0,0,0,24,0,1,3,4,0,0,25,4,3,1,14,0,11,3,0,8,5,2,12,0,5,0,0,0,0,may-2024,2024-05-01,333,0
BHUTAN,Asia,Southern Asia,NA,82,126,7,136,11,NA,0,4,42,3,0,0,5,0,0,2,0,14,3,10,4,0,6,4,0,0,4,0,5,1,2,3,1,12,0,6,0,3,0,0,0,0,1,0,0,0,1,0,1,27,2,0,0,1,0,2,1,1,0,78,1,4,0,2,5,1,0,0,may-2024,2024-05-01,208,0
BOLIVIA,South America,South America,NA,862,851,173,818,104,NA,0,273,270,44,5,1,20,0,14,107,21,72,16,9,19,6,327,43,0,0,18,18,51,60,28,34,15,66,21,1,23,11,38,0,1,2,29,1,10,4,7,9,3,75,30,31,4,30,4,2,7,3,7,133,152,120,0,1,10,9,10,1,may-2024,2024-05-01,1713,5
BOSNIA AND HERZEGOVINA,Europe,Southern Europe,NA,137,133,15,148,37,NA,0,8,46,6,0,0,9,0,0,3,0,22,2,6,5,0,15,1,0,0,4,4,29,5,5,3,5,18,0,0,2,3,5,0,4,0,8,0,0,5,4,1,0,28,7,13,18,8,0,0,4,0,0,6,4,9,0,2,6,3,1,2,may-2024,2024-05-01,270,1
BOTSWANA,Africa,Southern Africa,NA,146,151,20,159,43,NA,0,0,67,2,0,0,6,0,1,2,2,43,2,4,4,3,7,9,0,0,4,2,20,3,5,2,1,15,2,0,15,5,12,0,3,0,11,0,2,0,2,5,1,29,14,4,0,29,0,3,1,0,2,17,1,3,0,1,3,2,1,0,may-2024,2024-05-01,297,0
BRAZIL,South America,South America,NA,13804,18600,3164,9096,2408,NA,0,10105,4442,1801,111,30,1227,1,169,86,214,4126,278,346,199,62,8364,948,0,60,269,126,1001,473,296,263,136,3280,276,48,458,258,444,0,102,23,485,20,151,95,635,65,101,2269,375,270,99,713,4,67,167,37,213,1146,1146,518,0,25,1190,187,83,37,may-2024,2024-05-01,32404,20
BRITISH VIRGIN ISLANDS,North America,Caribbean,NA,13,29,7,29,1,NA,0,0,4,0,0,0,1,0,1,0,1,0,0,0,0,0,14,2,0,0,2,0,1,0,3,1,0,0,0,0,1,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,may-2024,2024-05-01,42,0
BRUNEI,Asia,South-Eastern Asia,NA,21,10,0,17,4,NA,0,0,8,2,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,may-2024,2024-05-01,31,0
BULGARIA,Europe,Eastern Europe,NA,296,305,41,336,62,NA,0,22,93,23,1,0,21,0,6,3,7,80,5,21,3,5,41,11,0,0,9,0,37,5,7,0,7,55,7,6,7,5,12,0,6,0,12,0,0,6,16,0,3,103,8,4,4,27,0,4,2,0,7,22,5,13,0,2,14,1,1,2,may-2024,2024-05-01,601,2
BURKINA FASO,Africa,Western Africa,NA,231,156,68,123,20,NA,0,79,81,9,0,0,6,0,2,4,0,6,3,5,9,2,15,38,0,0,3,0,5,6,0,2,1,15,11,1,2,18,6,0,0,1,8,0,22,1,20,1,0,49,12,12,3,14,0,1,1,3,2,44,0,9,0,1,6,23,0,0,may-2024,2024-05-01,387,1
BURMA,Asia,South-Eastern Asia,NA,2160,2120,1847,1229,132,NA,0,84,504,388,1,9,82,0,20,6,35,1811,19,16,15,1,120,36,0,5,79,4,110,88,62,37,6,172,56,4,53,107,33,0,2,0,39,3,12,8,17,6,11,525,52,57,64,81,0,4,7,0,14,144,33,51,0,4,216,35,0,0,may-2024,2024-05-01,4280,4
BURUNDI,Africa,Eastern Africa,NA,117,114,21,159,7,NA,0,0,30,4,0,0,10,0,5,0,1,8,1,5,1,0,5,5,0,0,3,2,25,3,4,5,0,13,2,2,1,52,4,0,0,0,5,0,0,2,3,0,0,12,1,10,1,12,0,1,0,0,3,13,1,5,0,2,10,3,0,0,may-2024,2024-05-01,231,0
CAMBODIA,Asia,South-Eastern Asia,NA,597,636,293,509,48,NA,0,55,217,25,1,7,72,0,2,4,22,272,8,8,3,2,23,18,0,2,27,5,29,10,12,20,4,126,13,6,7,46,8,0,8,1,12,0,1,4,7,0,2,47,24,5,25,83,0,10,4,0,15,122,24,27,0,0,124,11,0,0,may-2024,2024-05-01,1233,6
CAMEROON,Africa,Central Africa,NA,651,522,156,490,194,NA,0,19,257,30,0,0,26,0,18,8,20,62,9,11,21,7,24,100,0,0,16,7,35,21,15,14,14,63,48,0,25,60,23,0,9,3,29,19,11,3,21,17,1,81,25,45,5,50,0,10,9,5,16,128,9,21,0,2,19,7,7,0,may-2024,2024-05-01,1173,1
CANADA,North America,Northern America,NA,16669,16139,1874,15267,5904,NA,2,72,5812,1803,205,147,1658,47,172,59,562,4025,262,698,287,43,1449,529,1,179,302,305,1304,493,183,172,166,2861,427,287,2035,416,486,0,143,129,565,462,149,306,597,84,73,5690,619,166,461,1573,9,373,231,57,353,978,378,441,1,202,524,317,123,54,may-2024,2024-05-01,32808,64
CAPE VERDE,Africa,Western Africa,NA,35,39,20,29,0,NA,0,3,12,3,0,0,1,0,0,0,0,1,1,1,0,0,2,0,0,0,1,3,0,0,0,0,0,34,2,0,3,0,0,0,0,0,0,0,1,0,0,1,0,5,3,0,1,6,0,4,1,0,2,1,1,0,0,0,0,0,0,0,may-2024,2024-05-01,74,6
CAYMAN ISLANDS,North America,Caribbean,NA,94,93,14,135,2,NA,0,0,14,0,0,1,19,0,4,0,2,7,2,0,1,0,77,11,0,0,1,1,2,3,4,1,2,3,0,0,5,1,2,0,0,0,4,0,4,0,3,0,0,11,2,2,1,3,0,2,3,0,5,6,1,7,0,0,2,2,0,0,may-2024,2024-05-01,187,2
CENTRAL AFRICAN REPUBLIC,Africa,Central Africa,NA,13,5,1,11,0,NA,0,2,4,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,may-2024,2024-05-01,18,0
CHAD,Africa,Central Africa,NA,58,24,14,19,8,NA,0,19,14,3,0,0,5,0,0,3,0,7,0,0,0,0,5,5,0,0,1,0,2,1,0,0,0,3,2,1,2,4,1,0,1,0,1,1,2,0,2,0,0,12,2,0,0,1,0,0,0,0,0,14,2,4,0,0,2,0,0,1,may-2024,2024-05-01,82,0
CHILE,South America,South America,NA,2095,1341,258,997,540,NA,0,512,911,93,26,9,70,0,28,7,35,402,40,34,27,3,476,78,0,10,37,50,195,66,25,30,15,245,46,9,47,24,40,0,5,4,81,2,24,9,26,8,7,394,38,15,29,99,4,7,16,0,29,141,387,60,0,6,29,39,7,1,may-2024,2024-05-01,3436,20
CHINA,Asia,Eastern Asia,NA,128628,117946,3289,78847,53451,NA,0,2405,93281,4566,40,897,9548,11,854,214,3458,49047,977,4168,3062,723,4691,6234,8,247,1158,125,13163,4584,591,454,765,20863,6899,449,7087,2643,4500,120,183,41,5586,95,454,737,5133,179,271,44007,6545,515,924,15401,10,1811,901,103,1525,7582,1501,4100,0,224,7157,4321,125,48,may-2024,2024-05-01,246574,250
CHRISTMAS ISLAND,Australia&Pacific Islands,Oceania,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,may-2024,2024-05-01,0,0
COLOMBIA,South America,South America,NA,7765,9923,1887,3246,1800,NA,0,6474,3324,606,28,19,238,4,90,52,89,1345,240,152,334,74,3801,508,0,12,112,50,729,308,112,151,122,868,166,20,180,121,181,0,74,3,290,12,71,33,654,48,62,2408,167,122,64,365,345,20,87,23,135,1039,855,620,0,4,188,114,52,12,may-2024,2024-05-01,17688,66
COMOROS,Africa,Eastern Africa,NA,3,2,1,0,0,NA,0,1,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,may-2024,2024-05-01,5,0
CONGO (BRAZZAVILLE),Africa,Central Africa,NA,79,72,34,45,4,NA,0,36,21,3,0,0,7,0,0,0,4,8,3,1,2,0,8,5,0,1,7,2,4,2,1,3,0,5,8,0,2,1,3,0,1,0,18,0,0,0,2,0,1,12,0,3,0,5,0,0,0,0,1,15,11,3,0,0,3,5,0,1,may-2024,2024-05-01,151,1
CONGO (KINSHASA),Africa,Central Africa,NA,1291,1035,567,915,74,NA,0,240,315,35,3,9,164,0,71,15,29,102,12,15,26,1,68,108,0,0,43,22,74,37,49,69,6,58,39,33,96,88,32,0,4,3,78,6,57,8,17,5,3,52,38,12,23,42,0,1,5,33,30,185,274,56,0,6,259,23,13,0,may-2024,2024-05-01,2326,4
COSTA RICA,North America,Central America,NA,857,747,105,801,235,NA,0,69,271,40,4,1,74,0,17,39,8,113,20,16,15,3,185,61,0,1,27,9,45,79,52,38,27,98,13,4,28,22,19,0,3,4,51,3,5,8,22,6,5,109,33,13,12,75,13,5,20,0,27,122,32,41,0,4,19,23,9,1,may-2024,2024-05-01,1604,4
COTE D'IVOIRE,Africa,Western Africa,NA,766,669,224,507,71,NA,0,200,365,43,0,6,19,0,7,66,10,73,5,14,14,4,29,54,0,1,14,36,14,19,15,26,24,46,29,9,13,150,14,0,1,1,37,4,14,5,35,4,3,115,24,37,8,29,0,5,5,2,6,264,85,32,0,1,22,6,4,0,may-2024,2024-05-01,1435,0
CROATIA,Europe,Southern Europe,NA,242,236,16,249,51,NA,0,13,110,16,3,0,20,1,2,6,7,48,8,11,4,2,25,6,0,2,6,1,33,16,4,7,7,32,5,3,4,7,5,0,1,2,12,0,2,3,9,1,2,68,15,13,3,18,0,3,9,2,14,23,6,7,0,1,6,0,5,1,may-2024,2024-05-01,478,0
CUBA,North America,Caribbean,NA,38,41,3,17,23,NA,0,7,21,5,0,0,2,0,1,0,1,0,0,2,0,1,16,4,0,0,1,0,3,1,4,0,1,6,1,0,1,0,2,0,2,0,1,0,0,0,0,0,1,7,0,0,0,1,2,3,1,1,1,12,0,0,0,1,0,1,0,0,may-2024,2024-05-01,79,1
